HOUSEID,NAME,PRICE,ROOMS,BATHROOMS,SIZE,TYPE,SALE,LOCATION,YEAR,URL,PERMALINK
1072789,Renta Departamento,10500,3,1,80,APARTMENT,RENT,LOCATION NOT SPECIFIED,2015,https://web.archive.org/web/20151021063305/http://www.inmuebles24.com/departamentos-en-renta-en-guadalajara.html,https://web.archive.org/web/20151021063305/http://www.inmuebles24.com/propiedades/renta-departamento-1072789.html
3581836,"DEPARTAMENTOS EN PRE-VENTA, BRELIA RESIDENCES",5791250,2,2,102,APARTMENT,SALE,JARDINES DEL BOSQUE CENTRO,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-venta-lopez-mateos-sur-jardines-del-bosque-centro-guadalajara-jal-3581836
3650642,DEPAS CERCA DE FORUM Y CUCEI (PREVENTA),2600000,2,2,60,APARTMENT,SALE,QUINTA VELARDE,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-venta-calzada-del-ejercito-quinta-velarde-guadalajara-jal-3650642
3682646,Condominio Normalistas (Ave Normalistas # 315 Esquina Calle Sevilla) Guadalajara,4400000,2,3,90,APARTMENT,SALE,ALCALDE BARRANQUITAS,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-venta-ave-normalistas-3-alcalde-barranquitas-guadalajara-jal-3682646
3682743,"DEPARTAMENTO RENTA COLONIA AMERICANA, GUADALAJARA JAL",19000,1,2,98,APARTMENT,RENT,AMERICANA,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/renta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-renta-colonias-11-colonia-americana-guadalajara-jal-3682743
3685172,"¡DEPARTAMENTOS NUEVOS EN RIVAS GUILLEN!",2197503,2,2,84,APARTMENT,SALE,LA PENAL,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-venta-rivas-guillen-la-penal-guadalajara-jal-3685172
3688526,"CASA EN RENTA EN LOMAS DEL MAR, LOMAS DE ATEMAJAC, ZAPOPAN.",15500,3,2,158,HOUSE,RENT,LOMAS DE ATEMAJAC,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/renta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-renta-lomas-del-mar-lomas-de-atemajac-zapopan-jal-3688526
3694248,"¡Bonito Departamento Nuevo y Equipado, de Venta en Guadalajara!",1790000,2,1,62,APARTMENT,SALE,PATRIA NUEVA,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-venta-luis-covarrubias-patria-nueva-guadalajara-jal-3694248
3697081,CASA EN VENTA ESTILO COLONIAL CENTRO GDL,6950000,6,2,308,HOUSE,SALE,GUADALAJARA CENTRO,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-venta-santa-monica-guadalajara-centro-guadalajara-jal-3697081
3698133,CASA EN AVENIDA VALLARTA COLONIA AMERICANA,47000000,5,5,900,HOUSE,SALE,AMERICANA,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-venta-av-vallarta-colonia-americana-guadalajara-jal-3698133
